Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.28     0.00       12     0.00     0.00  get_udv_by_name
  0.00      3.28     0.00       11     0.00     0.00  check_for_mouse_events
  0.00      3.28     0.00       11     0.00     0.30  do_line
  0.00      3.28     0.00       11     0.00     0.00  load_linetype
  0.00      3.28     0.00       11     0.00     0.00  lookup_ftable
  0.00      3.28     0.00       10     0.00     0.00  parse_range
  0.00      3.28     0.00       10     0.00     0.00  set_command
  0.00      3.28     0.00        9     0.00     0.00  QBasicAtomicInt::deref()
  0.00      3.28     0.00        9     0.00     0.00  fill_gpval_axis
  0.00      3.28     0.00        9     0.00     0.00  fill_gpval_float
  0.00      3.28     0.00        9     0.00     0.00  label_width
  0.00      3.28     0.00        9     0.00     0.00  lf_pop
  0.00      3.28     0.00        9     0.00     0.00  lf_push
  0.00      3.28     0.00        8     0.00     0.00  QString::~QString()
  0.00      3.28     0.00        8     0.00     0.00  display_ipc_commands
  0.00      3.28     0.00        8     0.00     0.30  do_string_and_free
  0.00      3.28     0.00        8     0.00     0.00  parse_color_name
  0.00      3.28     0.00        8     0.00     0.00  parse_colorspec
  0.00      3.28     0.00        8     0.00     0.00  set_linestyle
  0.00      3.28     0.00        7     0.00     0.00  add_udv
  0.00      3.28     0.00        7     0.00     0.00  copy_str
  0.00      3.28     0.00        7     0.00     0.00  gp_expand_tilde
  0.00      3.28     0.00        7     0.00     0.00  loadpath_fopen
  0.00      3.28     0.00        7     0.00     0.00  m_capture
  0.00      3.28     0.00        7     0.00     0.00  widest_tic_callback
  0.00      3.28     0.00        7     0.00     0.00  ytick2d_callback
  0.00      3.28     0.00        6     0.00     0.00  SVG_hypertext
  0.00      3.28     0.00        6     0.00     0.00  QBasicAtomicInt::ref()
  0.00      3.28     0.00        6     0.00     0.00  clear_df_column_headers
  0.00      3.28     0.00        6     0.00     0.00  clip_line
  0.00      3.28     0.00        6     0.00     0.00  cp_alloc
  0.00      3.28     0.00        6     0.00     0.00  default_arrow_style
  0.00      3.28     0.00        6     0.00     0.00  df_close
  0.00      3.28     0.00        6     0.00     0.00  df_open
  0.00      3.28     0.00        6     0.00     0.00  df_set_key_title
  0.00      3.28     0.00        6     0.00     0.00  df_set_plot_mode
  0.00      3.28     0.00        6     0.00     0.00  do_key_sample
  0.00      3.28     0.00        6     0.00     0.00  draw_clip_line
  0.00      3.28     0.00        6     0.00     0.00  f_push
  0.00      3.28     0.00        6     0.00     0.00  get_style
  0.00      3.28     0.00        6     0.00     0.00  initialize_use_spec
  0.00      3.28     0.00        6     0.00     0.00  plot_option_using
  0.00      3.28     0.00        6     0.00     0.00  string_or_express
  0.00      3.28     0.00        5     0.00     0.00  del_udv_by_name
  0.00      3.28     0.00        5     0.00     0.00  xtick2d_callback
  0.00      3.28     0.00        4     0.00     0.00  SVG_path
  0.00      3.28     0.00        4     0.00     0.00  SVG_text_angle
  0.00      3.28     0.00        4     0.00     0.00  QString::operator+=(QString const&)
  0.00      3.28     0.00        4     0.00     0.00  axis_draw_2d_zeroaxis
  0.00      3.28     0.00        4     0.00     0.00  axis_output_tics
  0.00      3.28     0.00        4     0.00     0.00  axis_position_zeroaxis
  0.00      3.28     0.00        4     0.00     0.00  axis_set_graphical_range
  0.00      3.28     0.00        4     0.00     0.00  setup_tics
  0.00      3.28     0.00        4     0.00     0.00  unset_margin
  0.00      3.28     0.00        3     0.00     0.00  qt_noop()
  0.00      3.28     0.00        3     0.00     0.00  QString::QString(QString const&)
  0.00      3.28     0.00        3     0.00     0.00  QString::QString()
  0.00      3.28     0.00        3     0.00     0.00  gen_tics
  0.00      3.28     0.00        3     0.00     0.00  invalidate_palette
  0.00      3.28     0.00        3     0.00     0.00  is_plot_with_colorbox
  0.00      3.28     0.00        3     0.00     0.00  is_plot_with_palette
  0.00      3.28     0.00        3     0.00     0.00  load_rcfile
  0.00      3.28     0.00        3     0.00     0.00  place_objects
  0.00      3.28     0.00        2     0.00     0.00  QBasicAtomicInt::operator!=(int) const
  0.00      3.28     0.00        2     0.00     0.00  axis_checked_extend_empty_range
  0.00      3.28     0.00        2     0.00     0.00  axis_log_value_checked
  0.00      3.28     0.00        2     0.00     0.00  axis_revert_and_unlog_range
  0.00      3.28     0.00        2     0.00     0.00  axis_revert_range
  0.00      3.28     0.00        2     0.00     0.00  axis_unlog_interval
  0.00      3.28     0.00        2     0.00     0.00  change_term
  0.00      3.28     0.00        2     0.00     0.00  closepath
  0.00      3.28     0.00        2     0.00     0.00  copy_or_invent_formatstring
  0.00      3.28     0.00        2     0.00     0.00  do_pointsize
  0.00      3.28     0.00        2     0.00     0.00  free_histlist
  0.00      3.28     0.00        2     0.00     0.00  load_one_range
  0.00      3.28     0.00        2     0.00     0.00  m_quote_capture
  0.00      3.28     0.00        2     0.00     0.00  make_tics
  0.00      3.28     0.00        2     0.00     0.00  newpath
  0.00      3.28     0.00        2     0.00     0.00  not_a_number
  0.00      3.28     0.00        2     0.00     0.00  perm_at
  0.00      3.28     0.00        2     0.00     0.00  place_arrows
  0.00      3.28     0.00        2     0.00     0.00  place_labels
  0.00      3.28     0.00        2     0.00     0.00  place_parallel_axes
  0.00      3.28     0.00        2     0.00     0.00  plot_border
  0.00      3.28     0.00        2     0.00     0.00  quantize_normal_tics
  0.00      3.28     0.00        2     0.00     0.00  round_outward
  0.00      3.28     0.00        2     0.00     0.00  sp_free
  0.00      3.28     0.00        2     0.00     0.00  term_reset
  0.00      3.28     0.00        1     0.00     0.00  GetAnnotateString
  0.00      3.28     0.00        1     0.00     0.00  MousePosToGraphPosReal
  0.00      3.28     0.00        1     0.00     0.00  SVG_graphics
  0.00      3.28     0.00        1     0.00     0.00  SVG_init
  0.00      3.28     0.00        1     0.00     0.00  SVG_local_reset
  0.00      3.28     0.00        1     0.00     0.00  SVG_options
  0.00      3.28     0.00        1     0.00     0.00  SVG_reset
  0.00      3.28     0.00        1     0.00     0.00  SVG_text
  0.00      3.28     0.00        1     0.00     0.00  UpdateStatusline
  0.00      3.28     0.00        1     0.00     0.00  UpdateStatuslineWithMouseSetting
  0.00      3.28     0.00        1     0.00     0.00  X11_args
  0.00      3.28     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z18qt_encodingToCodec15set_encoding_id
  0.00      3.28     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      3.28     0.00        1     0.00     0.00  ensureOptionsCreated()
  0.00      3.28     0.00        1     0.00     0.00  QByteArray::data()
  0.00      3.28     0.00        1     0.00     0.00  QByteArray::detach()
  0.00      3.28     0.00        1     0.00     0.00  QByteArray::~QByteArray()
  0.00      3.28     0.00        1     0.00     0.00  QChar::unicode()
  0.00      3.28     0.00        1     0.00     0.00  QColor::QColor(int, int, int, int)
  0.00      3.28     0.00        1     0.00     0.00  QPoint::QPoint()
  0.00      3.28     0.00        1     0.00     0.00  QString::QString(char const*)
  0.00      3.28     0.00        1     0.00     0.00  QString::operator+=(QChar)
  0.00      3.28     0.00        1     0.00     0.00  QtOption::QtOption()
  0.00      3.28     0.00        1     0.00     0.00  operator+(char const*, QString const&)
  0.00      3.28     0.00        1     0.00     0.00  operator+(QString const&, char const*)
  0.00      3.28     0.00        1     0.00     0.00  operator+(QString const&, QString const&)
  0.00      3.28     0.00        1     0.00     0.00  operator+(QString const&, char)
  0.00      3.28     0.00        1     0.00     0.00  adjust_offsets
  0.00      3.28     0.00        1     0.00     0.00  boundary
  0.00      3.28     0.00        1     0.00     0.00  builtin_cancel_zoom
  0.00      3.28     0.00        1     0.00     0.00  clear_binary_records
  0.00      3.28     0.00        1     0.00     0.00  cp_free
  0.00      3.28     0.00        1     0.00     0.00  define
  0.00      3.28     0.00        1     0.00     0.00  df_unset_datafile_binary
  0.00      3.28     0.00        1     0.00     0.00  do_key_bounds
  0.00      3.28     0.00        1     0.00     0.00  do_key_layout
  0.00      3.28     0.00        1     0.00     0.06  do_plot
  0.00      3.28     0.00        1     0.00     0.00  draw_key
  0.00      3.28     0.00        1     0.00     0.00  draw_titles
  0.00      3.28     0.00        1     0.00     3.27  eval_plots
  0.00      3.28     0.00        1     0.00     0.00  event_reset
  0.00      3.28     0.00        1     0.00     0.00  expand_df_column
  0.00      3.28     0.00        1     0.00     0.00  extend_input_line
  0.00      3.28     0.00        1     0.00     0.00  extend_token_table
  0.00      3.28     0.00        1     0.00     0.00  find_maxl_keys
  0.00      3.28     0.00        1     0.00     0.00  free_arrowstyle
  0.00      3.28     0.00        1     0.00     0.00  get_terminals_names
  0.00      3.28     0.00        1     0.00     0.00  get_user_env
  0.00      3.28     0.00        1     0.00     0.00  gp_atexit
  0.00      3.28     0.00        1     0.00     0.00  gp_exit_cleanup
  0.00      3.28     0.00        1     0.00     0.00  init_color
  0.00      3.28     0.00        1     0.00     0.00  init_constants
  0.00      3.28     0.00        1     0.00     0.00  init_fit
  0.00      3.28     0.00        1     0.00     0.00  init_histogram
  0.00      3.28     0.00        1     0.00     0.00  init_memory
  0.00      3.28     0.00        1     0.00     2.38  init_session
  0.00      3.28     0.00        1     0.00     0.00  init_terminal
  0.00      3.28     0.00        1     0.00     0.00  interrupt_setup
  0.00      3.28     0.00        1     0.00     0.89  load_file
  0.00      3.28     0.00        1     0.00     0.00  load_range
  0.00      3.28     0.00        1     0.00     0.00  loadpath_handler
  0.00      3.28     0.00        1     0.00     0.00  locale_handler
  0.00      3.28     0.00        1     0.00     0.00  parse_driver
  0.00      3.28     0.00        1     0.00     0.00  place_grid
  0.00      3.28     0.00        1     0.00     0.00  place_histogram_titles
  0.00      3.28     0.00        1     0.00     3.27  plot_command
  0.00      3.28     0.00        1     0.00     0.00  plot_mode
  0.00      3.28     0.00        1     0.00     3.27  plotrequest
  0.00      3.28     0.00        1     0.00     0.00  pm3d_reset
  0.00      3.28     0.00        1     0.00     0.00  prepare_call
  0.00      3.28     0.00        1     0.00     0.00  push_terminal
  0.00      3.28     0.00        1     0.00     0.00  qt_options
  0.00      3.28     0.00        1     0.00     0.00  recalc_statusline
  0.00      3.28     0.00        1     0.00     0.00  reset_colorbox
  0.00      3.28     0.00        1     0.00     0.00  reset_command
  0.00      3.28     0.00        1     0.00     0.00  reset_hidden3doptions
  0.00      3.28     0.00        1     0.00     0.00  reset_key
  0.00      3.28     0.00        1     0.00     0.00  reset_palette
  0.00      3.28     0.00        1     0.00     0.00  save_writeback_all_axes
  0.00      3.28     0.00        1     0.00     0.00  set_cbminmax
  0.00      3.28     0.00        1     0.00     2.38  set_colorsequence
  0.00      3.28     0.00        1     0.00     0.00  set_output
  0.00      3.28     0.00        1     0.00     0.00  set_plot_with_palette
  0.00      3.28     0.00        1     0.00     0.00  set_term
  0.00      3.28     0.00        1     0.00     0.00  set_terminal
  0.00      3.28     0.00        1     0.00     0.00  show_version
  0.00      3.28     0.00        1     0.00     0.00  splot_map_deactivate
  0.00      3.28     0.00        1     0.00     0.00  term_close_output
  0.00      3.28     0.00        1     0.00     0.00  term_end_plot
  0.00      3.28     0.00        1     0.00     0.00  term_initialise
  0.00      3.28     0.00        1     0.00     0.00  term_set_output
  0.00      3.28     0.00        1     0.00     0.00  term_start_plot
  0.00      3.28     0.00        1     0.00     0.00  unset_angles
  0.00      3.28     0.00        1     0.00     0.00  unset_arrowstyles
  0.00      3.28     0.00        1     0.00     0.00  unset_boxplot
  0.00      3.28     0.00        1     0.00     0.00  unset_boxwidth
  0.00      3.28     0.00        1     0.00     0.00  unset_cntrlabel
  0.00      3.28     0.00        1     0.00     0.00  unset_cntrparam
  0.00      3.28     0.00        1     0.00     0.00  unset_contour
  0.00      3.28     0.00        1     0.00     0.00  unset_dgrid3d
  0.00      3.28     0.00        1     0.00     0.00  unset_dummy
  0.00      3.28     0.00        1     0.00     0.00  unset_fillstyle
  0.00      3.28     0.00        1     0.00     0.00  unset_fit
  0.00      3.28     0.00        1     0.00     0.00  unset_grid
  0.00      3.28     0.00        1     0.00     0.00  unset_histogram
  0.00      3.28     0.00        1     0.00     0.00  unset_isosamples
  0.00      3.28     0.00        1     0.00     0.00  unset_mapping
  0.00      3.28     0.00        1     0.00     0.00  unset_missing
  0.00      3.28     0.00        1     0.00     0.00  unset_offsets
  0.00      3.28     0.00        1     0.00     0.00  unset_origin
  0.00      3.28     0.00        1     0.00     0.00  unset_parametric
  0.00      3.28     0.00        1     0.00     0.00  unset_pointintervalbox
  0.00      3.28     0.00        1     0.00     0.00  unset_pointsize
  0.00      3.28     0.00        1     0.00     0.00  unset_polar
  0.00      3.28     0.00        1     0.00     0.00  unset_samples
  0.00      3.28     0.00        1     0.00     0.00  unset_size
  0.00      3.28     0.00        1     0.00     0.00  unset_style_circle
  0.00      3.28     0.00        1     0.00     0.00  unset_style_ellipse
  0.00      3.28     0.00        1     0.00     0.00  unset_style_rectangle
  0.00      3.28     0.00        1     0.00     0.00  unset_textbox_style
  0.00      3.28     0.00        1     0.00     0.00  unset_ticslevel
  0.00      3.28     0.00        1     0.00     0.00  unset_timefmt
  0.00      3.28     0.00        1     0.00     0.00  unset_timestamp
  0.00      3.28     0.00        1     0.00     0.00  unset_view
  0.00      3.28     0.00        1     0.00     0.00  unset_zero
  0.00      3.28     0.00        1     0.00     0.00  update_plot_bounds
  0.00      3.28     0.00        1     0.00     0.00  update_ruler
  0.00      3.28     0.00        1     0.00     0.00  xy_format

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.30% of 3.28 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.7    0.00    3.27                 main [1]
                0.00    2.38       1/1           init_session [11]
                0.00    0.89       1/1           load_file [14]
                0.00    0.00       1/14          update_gpval_variables [50]
                0.00    0.00       1/1           init_constants [63]
                0.00    0.00       2/167         add_udv_by_name [76]
                0.00    0.00       1/1           X11_args [243]
                0.00    0.00       1/1           init_memory [266]
                0.00    0.00       1/1           init_terminal [267]
                0.00    0.00       1/1           gp_atexit [261]
                0.00    0.00       1/1           push_terminal [276]
                0.00    0.00       1/1           show_version [288]
                0.00    0.00       1/1           interrupt_setup [268]
                0.00    0.00       1/1           loadpath_handler [269]
                0.00    0.00       1/1           get_user_env [260]
                0.00    0.00       1/1           locale_handler [270]
                0.00    0.00       1/1           init_fit [264]
                0.00    0.00       1/227         gp_strdup [74]
                0.00    0.00       1/7           loadpath_fopen [184]
                0.00    0.00       1/1           gp_exit_cleanup [262]
-----------------------------------------------
                0.00    3.27      12/12          do_line [3]
[2]     99.7    0.00    3.27      12         command [2]
                0.00    3.27       1/1           plot_command [4]
                0.00    0.00      10/10          set_command [34]
                0.00    0.00       1/1           define [60]
                0.00    0.00      12/18          is_definition [146]
                0.00    0.00      11/11          lookup_ftable [176]
-----------------------------------------------
                0.00    0.89       3/11          load_file [14]
                0.00    2.38       8/11          do_string_and_free [12]
[3]     99.7    0.00    3.27      11         do_line [3]
                0.00    3.27      12/12          command [2]
                0.00    0.00      11/14          string_expand_macros [168]
                0.00    0.00      11/14          scanner [167]
                0.00    0.00      11/11          check_for_mouse_events [174]
                0.00    0.00       1/1954        equals [72]
-----------------------------------------------
                0.00    3.27       1/1           command [2]
[4]     99.7    0.00    3.27       1         plot_command [4]
                0.00    3.27       1/1           plotrequest [5]
                0.00    0.00       8/167         add_udv_by_name [76]
                0.00    0.00       1/1           plot_mode [273]
-----------------------------------------------
                0.00    3.27       1/1           plot_command [4]
[5]     99.7    0.00    3.27       1         plotrequest [5]
                0.00    3.27       1/1           eval_plots [6]
                0.00    0.00       4/10          parse_range [51]
                0.00    0.00       1/1           splot_map_deactivate [289]
                0.00    0.00       1/1954        equals [72]
-----------------------------------------------
                0.00    3.27       1/1           plotrequest [5]
[6]     99.7    0.00    3.27       1         eval_plots [6]
                0.08    3.14       6/6           get_data [7]
                0.00    0.06       1/1           do_plot [19]
                0.00    0.00      11/19          lp_parse [35]
                0.00    0.00       6/6           df_open [42]
                0.00    0.00       6/6           string_or_express [44]
                0.00    0.00       6/10          parse_range [51]
                0.00    0.00       1/14          update_gpval_variables [50]
                0.00    0.00       1/2800052     Gcomplex [26]
                0.00    0.00     105/1217        almost_equals [73]
                0.00    0.00      23/1954        equals [72]
                0.00    0.00      12/22          forever_iteration [139]
                0.00    0.00      11/11          load_linetype [175]
                0.00    0.00       7/7           m_capture [185]
                0.00    0.00       6/16          check_for_iteration [156]
                0.00    0.00       6/18          is_definition [146]
                0.00    0.00       6/6           cp_alloc [190]
                0.00    0.00       6/6           df_set_plot_mode [194]
                0.00    0.00       6/167         add_udv_by_name [76]
                0.00    0.00       6/6           get_style [196]
                0.00    0.00       6/16          empty_iteration [158]
                0.00    0.00       6/16          next_iteration [160]
                0.00    0.00       6/16          cleanup_iteration [157]
                0.00    0.00       2/2           axis_checked_extend_empty_range [211]
                0.00    0.00       2/2           axis_revert_and_unlog_range [213]
                0.00    0.00       1/2           free_histlist [220]
                0.00    0.00       1/1           init_histogram [265]
                0.00    0.00       1/1           set_cbminmax [284]
                0.00    0.00       1/56          fill_gpval_string [85]
                0.00    0.00       1/1           save_writeback_all_axes [283]
-----------------------------------------------
                0.08    3.14       6/6           eval_plots [6]
[7]     97.9    0.08    3.14       6         get_data [7]
                0.02    2.99 4200006/4200006     df_readline [8]
                0.13    0.00 4200000/4200000     store2d_point [15]
                0.00    0.00      66/66          cp_extend [84]
                0.00    0.00       6/6           df_set_key_title [193]
                0.00    0.00       6/6           df_close [192]
-----------------------------------------------
                0.02    2.99 4200006/4200006     get_data [7]
[8]     91.8    0.02    2.99 4200006         df_readline [8]
                0.13    2.86 4200006/4200006     df_readascii [9]
-----------------------------------------------
                0.13    2.86 4200006/4200006     df_readline [8]
[9]     91.2    0.13    2.86 4200006         df_readascii [9]
                2.66    0.06 4200000/4200000     df_tokenise [10]
                0.01    0.09 1400000/1400042     evaluate_at [16]
                0.04    0.00 4200006/4200006     df_gets [21]
                0.00    0.00 1400000/1400022     real [70]
                0.00    0.00      54/54          df_parse_string_field [88]
-----------------------------------------------
                2.66    0.06 4200000/4200000     df_readascii [9]
[10]    82.9    2.66    0.06 4200000         df_tokenise [10]
                0.06    0.00 37800000/37800000     check_missing [18]
                0.00    0.00       1/1           expand_df_column [254]
-----------------------------------------------
                0.00    2.38       1/1           main [1]
[11]    72.5    0.00    2.38       1         init_session [11]
                0.00    2.38       1/1           set_colorsequence [13]
